;AKAP8L;ARID3B;ARNTL;ATF3;ATF4;BACH2;BATF;BATF3;BBX;CREM;E2F1;E4F1;EGR1;EGR2;ELF4;ELK1;ELK3;ETS2;ETV3;ETV6;FOS;FOSL1;FOXJ2;FOXO1;GATAD2B;GMEB1;GTF2B;GTF3A;HBP1;HSF2;IRF4;KLF13;KLF6;LHX4;LYL1;MAX;MEF2A;MNT;MXD1;MYBL1;MYBL2;MYPOP;NCOA3;NFX1;NR1D1;NR1H2;NR2C1;NR2F6;PKNOX1;PLSCR1;PRMT3;RARG;RBCK1;RBSN;RELB;RORC;SETDB1;SMYD3;SP4;SREBF1;SRF;STAT3;STAT6;TBX21;TET2;TFAP4;TFCP2;TFDP1;THAP1;TP53;TRERF1;TRPS1;WT1;YBX3;ZBTB16;ZBTB17;ZBTB3;ZBTB39;ZBTB40;ZBTB45;ZFP1;ZFP30;ZFP37;ZFP62;ZFP64;ZFP69B;ZFPM1;ZKSCAN4;ZKSCAN7;ZNF107;ZNF121;ZNF131;ZNF134;ZNF138;ZNF154;ZNF155;ZNF160;ZNF180;ZNF200;ZNF202;ZNF226;ZNF227;ZNF234;ZNF235;ZNF239;ZNF250;ZNF254;ZNF256;ZNF264;ZNF268;ZNF284;ZNF287;ZNF317;ZNF324;ZNF324B;ZNF329;ZNF337;ZNF33A;ZNF35;ZNF354B;ZNF354C;ZNF365;ZNF367;ZNF396;ZNF397;ZNF429;ZNF43;ZNF451;ZNF471;ZNF483;ZNF493;ZNF501;ZNF507;ZNF510;ZNF513;ZNF527;ZNF530;ZNF546;ZNF549;ZNF554;ZNF555;ZNF562;ZNF563;ZNF574;ZNF585A;ZNF586;ZNF589;ZNF599;ZNF615;ZNF619;ZNF620;ZNF621;ZNF629;ZNF649;ZNF669;ZNF672;ZNF675;ZNF718;ZNF746;ZNF766;ZNF776;ZNF777;ZNF784;ZNF787;ZNF789;ZNF79;ZNF808;ZNF823;ZNF827;ZNF844;ZNF879;ZNF880;ZSCAN12;ZSCAN2;ZSCAN20;ZSCAN21;ZXDC
NR2C1;0;0;0,042806379;0;0,065505507;0;0;-0,023906837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,070323163;0;0;0;0;0;0;0;0,053480973;0;0;0;0;0;0;0;0;-0,147453844;-1;0;0;0;0,080678459;0;0;0,044933622;0;0;0;0;0;0;-0,075617527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,045050583;0;0;0;0;0;0,032052197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,061469402;0;0;0;0;0,034796236;0;0;0;0;0;0;0;0;0,045758659;0;0;0;0,038544399;0;0;0;0;0;0,01189877;0;0,008051018;0;0;0;0,032674561
NR2F6;0;0;0;0;0;0;0,099752113;0;0;0;0;0;0,025467142;0;0;0;-0,096140149;0;0;0;0,019212158;0;0;0;0;0;0;0,180695095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0,229697604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,001956411;0;0;0;0;0;0;0,060556839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,05667129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PKNOX1;0;0;0,056243733;0;-0,091270131;0;0;0,064052195;0;0;0;0;0;-0,010540276;0;0;0;0;0;0;0;0;0;0;0;0,07936672;0;0,173565168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00953286;0;0;0;-1;0,035337786;0,023364172;0,061364078;-0,150548126;0;0;0;0;0;0,053073815;0;0;0;0;0;0,04358273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002547971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PLSCR1;0;0;0,038680902;0;-0,074023561;0;0;0,090305705;0;0,132421067;0;0;-0,025150306;0;0,003992073;-0,050413011;0,053855741;0,098575812;0;0;0;0;0;0;0;0,050009936;0;0,141235662;0;0;0;0,03488797;0;0;0;0,09184155;0,073044144;0;0;0;0;-0,008205824;0;0;0;0;-0,000759716;0;0,005282355;-1;0,038099044;0,001431407;0,557426264;0;0;-0,008716428;0;0;0,037699724;0;0;0,098319752;-0,034362464;0;0;0;0;0;0,052691243;0;0;0;0;-0,006568467;0;-0,071936685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,063550512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,067905793;0,012028173;0;0;0;0;0;6,11932E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,000498554;0;-0,0573887;0;0;0;0;0;0,020622843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,037670996;0;0;0;0;0;0;0;0
PRMT3;0,002423826;0;0;0;-0,145267029;0;0;0,041822323;2,91386E-05;0;0;0;0;0;0;0;0;0,005848554;0;0;0;0,012374587;0;-0,084723776;0;0;0;0,236034186;0;0;0;-0,035214603;0;0;0;0,140526092;0,023383705;0;0;0;0;0;0;0;0;0;0,035841828;0;0;0,041692258;-1;0;-0,243335245;0;0;0;0;0;0;0;0;0;0;0;0;0,051262099;0;0;0,06631734;-0,000979812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004085988;0;0;0;0;0;0;0,061304998;0;0;0;0;0,033910012;0;-0,010438962;0;0;0;0,001485448;0;0;0;0;0;0;-0,000893472;0;0;0;0;-0,001633149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,00068286;0;0;0;0;0;0;0;0;0;0,021763983;0;0;0,000117779;0;0;0;0;0;0
RARG;0;0,056757958;0;0;0;0;-0,074049556;0;0;0;0;0,053298541;-0,03234999;0;0;0;0;0;0;0;-0,034757861;0;0;0;0;0;0;0,177748993;0;0;0;0;0;0;0;0,128733163;0;0;0;0,013400514;0;0;0;0;0;0,181308825;0;0;0,029273562;0;0;-1;0;0;0,054856219;0,013793367;0;-0,084159978;0;0;0;-0,082525076;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000764793;0,009155899;0;0;0,098510538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,06092561;0;0;0,019745212;0;0;0;0,02151133;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,030889476;0;0,01786904;0;0;0;0;0;0;-0,011194293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,117379011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RBCK1;0,036698581;0;-0,041868632;0;0,047397204;0;0,048322433;0;0;0;0;0,023689139;-0,006630819;0;0,038748338;0;0;0;0;0;0;0;0;0;0;0;0,015783875;0,105840167;0;0;-0,033039452;0;0,02852271;0;0;0;0;0;-0,037426833;0;-0,011590087;0,054613178;-0,037753971;-0,039878968;0;0,09017839;0;0,007984139;0;0,097637931;-0,05447326;0;-1;-0,00854684;0,040288663;0;0;0;-0,034886605;-0,020736551;0;0,061971664;0;0;0,006866144;0;0;0;-0,03253313;0,017301965;0;0;0,006755121;-0,043514329;0;0,024161815;0;0;0;0,012826667;0;0;0;0;0;0;0;0;0;0;0;-0,04009871;0;0;0;0;0;0;0;0;0;0;-0,00394199;0;0;0;0;-0,002931;0;0;0;0;0;-0,007911414;0;0;0,049564141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,026098928;-0,001054987;0;0;0;0;0;0;0;0;0;0,030788095;0;0;0;0,017175389;0;0;0;0,016019054;0;0;0;0,062740163;-0,026457995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RBSN;0;0;0;0;0;0;-0,010058984;0;0;-0,000694572;0;0;0;0;2,65407E-07;0;0;0;0,0414145;-0,069298103;0;0;0;-0,012426843;0,072912574;0;0;0;0;0;0;0;0;0;0;-0,000670918;0,011192008;0,045321127;0;0,053465992;0;-0,009726379;0;0;0;0,113964847;0;0;0;0;0;0;-0,125285899;-1;0;0;0;0;0,078867383;0;0;0,110535592;0;0;0,061578994;0;0,026756197;-0,092362572;0;0;0;0;0;0;0;-0,043883507;0;0,011765907;0;0;0;0;0;0;0;-0,006321647;0;0;0;0;0;0,097084642;0;0;0;0;0;0;0;0;0;0;0,020287741;0;0;0;0;0,010501181;0;0;0;0;0;0;0,027172249;0;0;0;0;0;-0,000789091;0;0;0;0;0;-0,004453358;0,112055115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6,06798E-05;0,007552209;0;0;0;0;-0,053788056;0,103741504;0;0;0;0;0;0;0;0;0;0;0;0;0,005994321;0;0;0;0
RELB;0;0;0;0;0,076296207;0;0,115836027;0,052536429;-0,064574003;0,090593448;0,058444457;0,037813387;0;0;0;0,060263047;0;0,065529659;0;0,041938504;0;0;0;0,064426088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,061387976;0,239983138;0;-1;0;0;0;0;0;0;0,21936098;0;0;0;0;0;0;0;0;0;0;0;0;0;0,054485831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,042329401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,086300591;0;0;0;-0,048907675;0;0;0;0;0;0;0;0;0;-0,018544335;0;0;0;0;0;0;0
RORC;0;0;0;0;0;0;0;-0,140768164;0;0;0;0;0;0;0;0,138394157;0;0;0;0;0,063007628;0;0;0;0;0;0;0;0;0;0;0;0;0,041272259;0;0,266814967;0;0;0;0;-0,101553857;0;0;0;0;0;0;0;0;0,000945751;0;0,160340225;0;0;0;-1;0;0;0;0;0;-0,293555454;0;0;0;0;0;0;0;-0,119107572;0;0;0;0,041718637;0,077832306;0;0;0,086661754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,059799102;0;0;0;0;0;0;0;0,00485522;0;0;0;0;0;0;0;0;0;0;-0,000109648;0;0;0;0;0;0;0;0,039829664;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001746802;-0,058314863;0;0;0;0;0;0;0;0;0;0;0;0;0
SETDB1;0;0;0;0;0,178692894;0,041519356;-0,062394793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,031349522;0;0;0;0;0;0;0;-0,131083625;0;0;0;0;0;0,049047832;0;0;0;0;0,082099752;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0,053321958;0,049370741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,004729304;0,069923864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SMYD3;0;0;0;0;0;0;0;0;0;0;0;0;0,060030821;0;0;0;0;0;0;0;-0,00296997;0;0;0;0;0;0;0,114467641;0;0;0;-0,072544912;0;0;0;0;0;0;0;0;-0,037171483;0;-0,082155109;0;0;0;0;0;0;0;0;-0,020342491;0;0;0;0;0;-1;-0,049607089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,037000842;0;0;0;0;0,018108096;0;0;0;0;0,039160457;0;0;0;0;0;0,03074983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,055940218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,063547951;0;0;0;0;0;0;0;0,013549901;0;0;0;0;0;0;0;0;0
SP4;0;-0,034035524;0;0;0;0;-0,031760139;0;0;-0,077807796;0;0;-0,026367372;0,011730073;0;0;0,098974852;0;0;0;0;0;0;0;0,010136198;0,000462174;-0,000590067;0;0;0;0,099803229;0;0;0;0;0;0,052572969;0;0,018641982;0,023592336;0;0;0,149033688;0;0;0;0;0;0,002969828;0;0;0;-0,159195332;0,056933298;0;0;0;0;-1;-0,002506052;0;0;-0,021178888;0,022711136;0;0;0;0;0,062286932;0;0;0;0;-0,016569767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01467953;0,171268397;0,142429511;0;0;0;0;-0,023352702;0;0;0;0;0;0;0;0;0;0;0;0;0,034824901;0;0;0;0;0;0;0;0;0,004454595;0;0;0;0;0;0;0;0;0,066179371;0;0,009914622;0;0;0,045180059;0;0;0;0;0;0;0;0;0,047235816;-0,013420174;0;0;-0,023789805;0;0;0;0;0;0,052072419;0;-0,001011781;0;0;0;0;0;-0,0032187;0;0;0;-0,00034976;0;0;0;0;0;0;0;-0,043767255;-0,000467387;0;0;0;0
SREBF1;0;0;0;0;0;0;0;0;0;-0,124226474;0,056171797;0;0;0;0;0;0;0;-0,050859748;0;0;0;0,045380566;0,080138774;0;0;0;0;0;0;0;0,07708624;0;-0,027197109;0;0;0;0,054583093;0;0;0,07509452;0;0;0;0;0;0;0;0;0;0;0;-0,123360603;0;0,000239642;0;0;0;0;-1;0,082730284;0;0,043102149;0,04957746;-0,016798623;0;0;0,056154539;0;0;-0,00075932;0;0;0;0;0;0;0;0,03066137;0;0;0;0;-0,036667287;0;0;0,013760324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,031977064;0;0;0;0;0;0;0;0;0;0;0;0,018639487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,016868821;0;0;0;0;0;-0,005678013;0;0,016292266;-0,002938572;0,028969546;0;0;0;0;0;0,00112541;0;0;0;0;0;0;0
SRF;0;0;0;0;0,132704914;0,047444752;0,079899597;0;0;0;0,102108368;0;0;0;0;-0,071727491;0;0;-0,024134313;0;0;0;0;0,099986881;0,081080604;0;-0,126883173;0,210319885;0;-0,06904863;0,051791386;0;0;0;0;-0,102228342;0;0,074953078;0;0;0,097982312;0;0;0;0;0;-0,065942253;0;0;0;0;0;0;0;0;0;0;0;0;0,090254897;-1;-0,085555404;0;0,055358876;0;0;0;0,052229022;0;0;0;0;0;0;0;0;0;0;0,06331495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,005794331;0;0;0;0;0;0;0;0;0;-0,112882265;0;0;0;0;0;0;0;0;0;0,103823747;0;0;0;0;0;0;0,024378811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,014127921;0;0;0;-0,021843577;0;0;0;0,068108488;-0,116601558;0;0;0;0,097870474;0;0;0;0;0;0;0;0;0;0;0;0;0,017691808
STAT3;-0,026559888;0,049654322;0;0;-0,124974887;-0,008976977;0;0,010783571;0,061389398;0;0;0;0;0,016549503;0;0,014279805;0;0;0;0,005362235;-0,015942597;0;0,005009858;0;0;0;-0,070021804;-0,118122763;0;0;0,031666507;0,028301367;0,247933386;-0,000952745;0;0,022950594;0;-0,002291804;0;-0,018783544;0;0;0,033543885;0,052175865;0;0;0;0;0;0,03948765;0;0,009959539;0,080349404;0,02933023;0,086999292;0;0;0;0;0;-0,000543902;-1;0;0,012974886;0;0;0;0;-0,018144262;0;0,000956197;0;0;0;0,019167447;0;0,026524638;0,015298471;0;0;0;0;0;0,00015968;-7,31366E-05;0;0;-0,006342377;0;0;0;0,043280829;0,025334404;0;0;0;0,066840962;0;0;0;0;0,00214155;0;0;0;0;0;0;-0,055435625;0;0;0;0,019516734;0;0;0;-0,037613852;-0,019402509;0;0,000306891;0;0;0;0;0,048781076;0,019970174;0,025498579;0,03882432;0;0;0;0,002390507;0;-0,003790149;0;0;0;0;0;0;0;0;0;0,028486576;0;0;0;0,00181217;0;0;0;0,019497764;0;0;0;0,00348965;-0,034265659;0;-0,023409229;0,078903422;0;-0,002898609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STAT6;0;0,05545542;0;0;0;-0,010712297;-0,059633687;-0,032451975;0;-0,075563368;0;0;0,020629892;0;0,00331063;0,029837644;0;0;-0,02971173;0;0;-0,003580732;0,029125378;0,001007114;0;0;-0,014353244;-0,082388631;0;0;0;0;-0,038182815;0;0;0,072460051;0;0,001359359;0;0;0;0;0;0,013537293;-0,004433024;0;0;0;0;3,24869E-05;0;0,042608683;0,088305961;0;0;0;0,011945168;0;-0,002292611;0,056332839;0,031836649;0,063598144;-1;0;0;0;0,044292191;0;0;0,000255294;0,036735506;0;0;0;0;0;0;0;0,022189049;0;0;-0,023936213;0;0;0;0;-0,010637968;0,015179032;0;0;0;0;0;0;0;0;0;0;0;0;-0,010764758;0;0;0;0;0,00274466;0;0;0;0;0;0,038924331;0,005346896;0;0;0;0;-0,058050222;-0,005169035;0;0;0;0;0;0;0,005072314;0;0;0;0;0;0;0;0,054610749;0,006906267;0;0;0;0;0;0;0;0;0,031089526;0;0;0,027555185;0;0,001826356;0;0;0;0;0;-0,015822029;0;0;0;0,001795663;0;0;-0,012578088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TBX21;0;0;0;0;0;0;0;0,038938238;0;0,147200267;0,12569619;0;0,003027955;0;0,00217436;0;0;0;0;0;-0,000640602;0;0,030521192;0,07336639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10496161;0;0;0;0;0;0;0;0;0;0;0;0;0;0,057090392;0;0;0;0,115802669;0,133487255;0,127342309;0,179581736;0;-1;0;0;0;0,17785261;0;0;0;0;0;0;0;0;0;0;0,025498736;0;0;0;0;0;0;0;0,019221839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,140995532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,065604635
TET2;0;0,135123253;0;0;-0,116588543;0;0;0;0,130421731;0;0;0;0;0;0;0;0;-0,06175676;0,062749927;0;0;0;0;0;0;0;0;0;0;0;0;0,294109078;0;0;0;0;0,122503571;0;0,049774874;0,026473564;0;0;0,114136685;0;0;0;0;0;0;0;0;0;0;0,070259386;0;-0,000387367;0;0;0;-0,059957135;0;0;0;0;-1;0;0;0;0;0;0;0,022281969;0;0;0;-0,08692776;0;0,073472346;0;0;0;0;0;0;0;0;0;0;0;0;-0,054040643;0;0;0;0;0;0,088993182;-0,060888557;0;0;0;0;0;0;0;0;0;0;-0,087906819;-0,067883837;0;0;0;0;0;0;-0,058108102;0;0;0,032036368;0;0;0;0;0;0;0,08400764;0,174175993;0;0;0;0;0,175974066;0;0;0;0;0;0;0;0;0;0;0,06331778;0;0;0;0;0;0;0;0,077016909;0;0;0;0;0,115471563;0;0;0,215729973;0;0;0;0;0;0;0,038919916;-0,030754013;0;0;0;0;0;0;0;0;0
TFAP4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,093283639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,037532143;0;0;0;0;0;0;0;0;0,049779508;0;0;0;0;0;0;0;0;0;-0,101472812;0;0;0;0;-1;0;0;0;0,056691941;0;0;0;0,025414301;0,045634143;0;0,042342842;0;0;0;0,046007243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,053881226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TFCP2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,057864224;0;0;0;0;0;0;0;0,002962795;0,063147272;0;-0,072365508;-0,202924229;0;0;0;-0,076494843;0;0;0;0,086461171;0,093997682;0;-0,073104866;0,04045158;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0332893;0;0;0;0;0;0;0;0;0,040968046;0;0;0;-1;0;0;0;0,041146583;0;0;0;0;0;0;0;0;0;0;0;0;0,055257803;0;0;0;0;0;0;0;0,08841465;0;0;0,033362114;0;0;0,007006727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,037016162;0;0;0;0,051540792;0;0,041069836;0;0;0;-0,02491828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007178009;0;0;0;0;-0,037372847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TFDP1;0;0;0;0;0,065208364;0;0,033311014;0;-0,031664353;0;0,078979124;0;0;0;0;0;0;0;0;0;0;0;0;0,059545852;0;0;0,057142941;0;0;0;0;0,042873118;0;0;0;0;-0,041941861;0;0;0;0,071118715;0;0;0;0;-0,044242911;0;0;0;0;0;0;-0,109552349;-0,042537009;0;0;0;0;0;0,049149946;0,049826739;0;0;0,05561986;0;0;-0,032676182;-1;0;0;0;0;0;0;0,001745909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,020932006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,034152559;0;-0,030536735;0;0;-0,056862787;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,018391969;0;2,6836E-05;0;0;0;0;0;0;0;0;0;0;0;-0,003359799;0;0;0,029119588;-0,10139524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
THAP1;0;0;0,02303446;0;0;0;0;0;0;0,040961205;-0,07888593;0;0;0;0;0;0,042303863;0,034726582;0;-0,061610693;0;0;0;-0,047326867;0;0;0,077578138;0,226151793;0;0,05896073;0;0;0;0;0;0,037928809;0;-0,024933804;-0,006065622;0;0;0;0;0;0;0;0;0;0,008378842;0,078873446;-0,005233251;0;-0,151478343;0;0;0;0;0;0,057030723;0;0;-0,033417212;0;0;0;0;0;0;-1;-0,025793946;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013900367;0;9,3487E-06;0;0;0;0;0;0;0;0,002229494;0;0;0;0;0;0;0,067987811;0;0;-0,000138867;0;0;0;0;0;0;0;0;-0,000685064;0;0;0;0;0,10584943;0;0;0;0;0;0;1,39301E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,000711664;0;0;-0,003003988;0;0;0;0;0;0;0,039860957;0;0;0;-0,021424334;0;0;0,002108247;0;0;0;0;0;0;0;0;0;0,033098359;0;0;0;0;0;0
TP53;0;0;0;0;0,089286356;0;-0,08702013;0,000619483;0;-0,003599786;0,010714173;0;-0,00957966;0;0;0,079590687;-0,0002603;0;0;0,040547305;0;0;0;0,02720029;0,065696052;0,051388778;0;0;-0,05355503;0;0;0;-0,150206199;0;0;0;-0,030498794;0,028421179;0;0;0,026880951;0,028970991;0,115061323;0;0,025245404;0;0,001207805;0;0;0;0;0;0,176780895;0;0;-0,003211047;0;0;0;0;0;0;0;0;0;0,004698783;0;0;-0,069152406;-1;0;0;0;0;0;0;0,030627288;0;0;0;-0,003605138;0;0;-0,015960854;0;9,37763E-06;0;0;0;0;0,068901049;0;0;0;0;0;0;0,002987328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,02047879;0;-0,029254661;0;0,046579458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,53321E-05;0,034754382;0;0,05399174;0;0;0;0;0;0;-0,019582163;0;0;0;0;0;0;0;0;0;-0,010344436;0;0;0,020351008;0;0;-0,002963965;0;0;0;0;0;0;0;0;0;0
TRERF1;0;-0,000146697;0,01508962;0;0,111029119;0,078267697;0;0;0;-0,011475453;0;0;0;0,039351994;0,028524783;0;0,123494222;0;0;0;0;0;0,066116402;0,067742484;0;0;0;-0,139907594;0;0;0;-0,104197628;0;-0,041650801;0;0;0,041348547;0;0;0;0,006346526;0;0,167104679;0;0;0;0;0;0;0;0;0;-0,224765802;0;0;0;0;0;0;0,059318733;0,056267648;0,18927813;0,07681797;-0,000834466;0;0;0,075774405;0;0;0;-1;0;0;0;0;0;0;0;0,033841926;0;0;0;0;0;0;0;0;0;0;0,058148658;0;0;0;0;0;0;0;0,054235876;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000706944;0;0;0;0;0;0,011142829;0;0;0;0;0;0;0;0;0;0;0;0,077830361;0;0;0;0;0;0;0;0,044551084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,105376282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,002447539;0
TRPS1;0;0;0;0;0;0,13498881;0;0,002939949;0,11054937;0;0;0;0,055192917;0;0;0;0;0;0,065279437;0;0;0;0;0,125600051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,143437372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,120162461;0;0;0;0;0;0,079745721;0;0;0;0;0;0;-1;0;0,03685242;0;0;0;0;0,074880199;0;0,083788584;0,057996312;0;0;0;0;0;0;0;0;0;0,025490446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006334259;0;0,204075501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,075653686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WT1;0;0;0;0;0;0,182675525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,473136576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,973899788;0;0;0;0;0;0;0;0,280601776;0;0,321422815;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,322591464;0;0;0,143162932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
